noun	freq
любовь	0.003148685290972784
день	0.0026701796463784212
глаз	0.0023452684062217548
ночь	0.0022271188643466036
рука	0.002038079597346361
небо	0.002014449688971331
человек	0.0017899655594085435
сердце	0.0017367982655647253
город	0.0016481861091583617
слово	0.0016245562007833315
друг	0.0015713889069395132
мир	0.0015241290901894528
время	0.0014886842276269074
жизнь	0.0014827767505331498
год	0.001411887025408059
свет	0.0012937374835329076
душа	0.0012582926209703622
голова	0.001246477666782847
сон	0.001193310372939029
ветер	0.0011755879416577562
дом	0.0011460505561889684
звезда	0.0010928832623451502
мама	0.0010810683081576352
окно	0.0010456234455950898
дождь	0.0010397159685013322
утро	0.0009806411975637563
дело	0.0009215664266261807
огонь	0.0008979365182511504
песня	0.0008861215640636353
слеза	0.0008802140869698777